playerFullName,PitchType,Throws,Team,CLASS+,Count,SwStr%,Vel,IndVertBrk,HorzBrk,Spin,Extension,RelH (ft),RelS (ft),norm_HorzBrk,norm_RelS,Vel_primary,IndVertBrk_primary,norm_HorzBrk_primary,vel_diff,ivb_diff,hb_diff,predicted_xPitchRV/P,group_mean,group_std,SwStr,VertApprAngle,HorzApprAngle,VertRelAngle,HorzRelAngle
"Black, Gavin",4S,Right,MSU_BDG,103.45528775055226,12.0,16.666666666666664,94.11005999999999,19.248881666666666,8.571565833333333,2365.577784833333,6.0075891666666665,5.877966666666667,2.4561908333333333,8.571565833333333,2.4561908333333333,94.11006000000002,19.248881666666662,8.571565833333333,9.473903143468002e-15,7.401486830834377e-16,8.881784197001252e-16,0.005352261173818249,0.0028173875412249006,0.007336215723822499,0.16666666666666666,-4.905435166666667,-2.0509465833333334,-2.432054583333333,-3.587568166666667
"Black, Gavin",CH,Right,MSU_BDG,109.54294166654296,1.0,0.0,83.77296,13.13544,12.23918,1737.571658,6.52586,5.75278,2.69412,12.23918,2.69412,94.11006,19.248881666666662,8.571565833333333,-10.337099999999992,-6.113441666666667,3.6676141666666666,0.0147385850021618,0.0057302139408229,0.0094398261837037,0.0,-5.191329,-1.756769,-0.265047,-3.972718
"Black, Gavin",CU,Right,MSU_BDG,108.28754083432038,6.0,33.33333333333333,84.95205333333332,-2.5858016666666668,-0.5669566666666667,2772.422825333333,5.909211666666667,5.8261183333333335,2.4041216666666667,-0.5669566666666667,2.4041216666666667,94.11006000000002,19.248881666666662,8.571565833333333,-9.158006666666658,-21.83468333333333,-9.138522499999999,0.010159245860146151,0.0038883046970989,0.0075667092185874,0.3333333333333333,-8.045376666666668,-2.528352,-0.4248096666666667,-2.4270253333333334
"Black, Gavin",SL,Right,MSU_BDG,108.20224775424244,8.0,0.0,84.03157,-1.3363162499999999,-1.57606875,2702.89017225,5.84547375,5.81705125,2.43549875,-1.57606875,2.43549875,94.11006,19.248881666666662,8.571565833333333,-10.07848999999999,-20.585197916666665,-10.147634583333332,0.013871433883393437,0.007413182025219,0.0078737585740861,0.0,-7.994799,-2.9343556250000002,-0.513664875,-2.651641625
"Burns, Dane",4S,Left,MSU_BDG,91.33026996329376,26.0,15.384615384615385,91.52099038461539,7.709978461538461,-9.774120384615385,2352.0097665384615,6.420004230769231,5.860673461538462,-2.010081923076923,9.774120384615385,2.010081923076923,91.6040780845017,5.6682997821144365,12.960416072375901,-0.08308769988631763,2.0416786794240247,-3.1862956877605155,-0.0035429134404330806,0.0028173875412249,0.0073362157238225,0.15384615384615385,-6.28012273076923,0.9729733846153846,-1.5880719230769231,2.7436455
"Burns, Dane",CH,Left,MSU_BDG,99.15600701389144,2.0,0.0,85.52965499999999,1.709645,-17.058515,1726.3707685,6.68255,5.855665,-2.09732,17.058515,2.09732,91.86956293103448,5.67645948275862,13.21601224137931,-6.339907931034482,-3.96681448275862,3.8425027586206895,0.0049334992319099505,0.0057302139408229,0.0094398261837037,0.0,-7.0562985,-1.050046,-0.27439650000000004,2.061073
"Burns, Dane",SI,Left,MSU_BDG,107.77377324333374,65.0,10.76923076923077,91.68372353846154,5.670747692307692,-13.037094923076923,2324.455354923077,6.4423516923076924,5.9213038461538465,-1.9307404615384616,13.037094923076923,1.9307404615384616,91.68372353846154,5.670747692307692,13.037094923076923,2.842170943040401e-15,5.465713352000771e-16,2.7328566760003855e-17,0.005389532186641634,-0.0002688599585534,0.0072788232536206,0.1076923076923077,-6.642313584615384,0.5963706,-1.613300876923077,2.958899969230769
"Burns, Dane",SL,Left,MSU_BDG,113.61836024855592,72.0,15.277777777777779,83.28278402777778,-1.064556111111111,11.032036527777779,2766.133662263889,5.801915694444444,5.8450509722222215,-2.045571111111111,-11.032036527777779,2.045571111111111,91.48608481937602,5.6646732484947995,12.846817775041051,-8.203300791598245,-6.7292293596059105,-23.878854302818826,0.01813595010242503,0.007413182025219001,0.0078737585740861,0.1527777777777778,-8.399167833333333,3.7008613472222223,-0.7793100416666667,1.7245005138888887
"Davis, Ben",4S,Right,MSU_BDG,86.54530967426601,39.0,12.82051282051282,93.58104736842105,9.632753947368421,14.696018421052633,2110.1481501052635,5.832032368421053,5.695982105263158,1.379992894736842,14.696018421052633,1.379992894736842,94.170360652819,8.013220741839763,17.91702121661721,-0.5893132843979466,1.6195332055286575,-3.22100279556458,-0.0070532635314562355,0.0028173875412249,0.007336215723822499,0.1282051282051282,-5.776444210526316,-0.11448463157894737,-1.5404656052631578,-2.749549210526316
"Davis, Ben",CH,Right,MSU_BDG,108.83272090890668,44.0,11.363636363636363,88.19754159090908,6.565731818181818,17.319381363636364,1789.927578340909,5.844719772727273,5.6469525,1.5588652272727272,17.319381363636364,1.5588652272727272,94.170360652819,8.013220741839763,17.91702121661721,-5.972819061909909,-1.4474889236579451,-0.5976398529808478,0.01406814895174736,0.0057302139408229,0.0094398261837037,0.11363636363636363,-7.247436250000001,0.5058285681818182,-1.7619411818181818,-2.6018982727272726
"Davis, Ben",CU,Right,MSU_BDG,105.9775565357582,1.0,100.0,83.64523,-5.80544,-5.20555,2270.103372,5.97203,5.8637,1.16716,-5.20555,1.16716,94.170360652819,8.013220741839763,17.91702121661721,-10.525130652819,-13.818660741839764,-23.12257121661721,0.0084113479114739,0.0038883046970989,0.0075667092185874,1.0,-9.342191,-3.120437,-0.91734,-2.183229
